"time","user","text"
"Mon Jun 15 20:29:33 PDT 2009","gina0star","oh man,i'm exhausted.  i ran errands for hours and then spent all night setting up my new light kit and painting props.  boo!!!!!"
"Thu Jun 25 08:29:46 PDT 2009","taylor_l_chick"," no body will talk 2 me.     *cries*"
"Sun May 31 06:04:19 PDT 2009","sector3games","going to be dreaming AI waypoint based pathfinding algorithms all night... "
"Fri Jun 05 16:28:24 PDT 2009","CaitlynRobin","still sick. trying to recover "
"Sat May 09 21:11:16 PDT 2009","LukeMTH","recorded some of a new song today! u wont hear it for a long time thooo... we might play it at shows tho! so comeeeeee "
"Fri Jun 05 09:28:33 PDT 2009","omgitsjamiseal","@abirtmo i've been well! how about you? ya i heard you guys were in town the day of your show, so i couldn't go! school has been crazy "
"Sat Apr 18 16:15:11 PDT 2009","MrsHagan","@nicolerichie you poor thing!!!! Tell him he's feeding the baby more than you  that got my hubby moving fast."
"Tue May 26 22:03:40 PDT 2009","TwistedPeanuts","@Bulletplug now I wish I had my job still so I could go to hot topic "
"Mon Jun 15 09:44:25 PDT 2009","akorittko","Yay flowers are coming back from last year. Can you name what kind  - http://mobypicture.com/?kepuaw"
"Mon Jun 15 11:14:08 PDT 2009","Mandisam","so I fail Geo with flying colours, wanna know why I came out smiling?? I GOT A 90 AND 81 ON MY BALLET EXAM!!! highest again "
"Sun Jun 07 04:06:39 PDT 2009","natalieallan","Hello tweeps, time to get some clothes on and fire up the stove for the lunch. Roast chicken this week with all the trimmings "
"Sun Jun 07 06:11:25 PDT 2009","carisr","Only 4 more days till i see the 3 most people i miss "
"Sun May 31 14:08:55 PDT 2009","LovesLondon35","@JulieScardina id do anything to help, the poor things "
"Sun Jun 07 05:55:11 PDT 2009","kompilator","celebrating the 7th anniversary with my girlfriend Ingrid "
"Sat May 30 20:27:02 PDT 2009","addie_c","watchin Alabama and Arizona State game... Alabama put in a pinch hitter and she hit a GRANDSLAM!!! wohoo go Alabama "
"Sun Jun 21 08:33:17 PDT 2009","caitlinebrown","@kimsweet Wait for July, love. "
"Mon May 04 00:32:16 PDT 2009","ashleycrowther","cleaning cleaning cleaning today then working out!  i love not working! "
"Fri Jun 05 18:57:58 PDT 2009","FreddyS87","http://twitpic.com/6prv9 - Me and Danielle at my 21st  Amazing Party!"
"Mon Jun 01 11:08:42 PDT 2009","JohnnyCamacho","is writing some new stand-up material for the first time in way too long. It feels good for him to be returning to his roots! "
"Thu May 14 03:32:10 PDT 2009","MonkeyBoi123","Fire drill..everyone goes through one exit irrespective of how many fire exits there are...didn't get asked for my name or phone number "
"Sat May 30 11:24:25 PDT 2009","technolliegy","Oh yay, it's crying time! Staveros Flatley will be good "
"Mon Apr 20 23:53:38 PDT 2009","BellaDonnaizhot","A baby bird fell out of it's nest &amp; onto my patio this morning.. &amp; I didn't even get a chance to say hello to &quot;Mary Jane&quot; on her birthday "
"Thu May 21 23:52:56 PDT 2009","susie32","last night with my kids "
"Mon Jun 01 01:30:01 PDT 2009","Falkork","Morning twitter "
"Thu Jun 18 03:04:34 PDT 2009","lilmshenry","Loves how busy it is today! Going to be a long couple of days "
"Sun May 17 07:22:09 PDT 2009","mcraddictal","@MCRmuffin  not really? Why's that?"
"Tue Jun 02 07:27:51 PDT 2009","tjsmommabear","@colleenpence Oh mama!  I feel for you!!! "
"Mon Jun 01 07:06:46 PDT 2009","devilsplay","my weekend is officially over.   Wish it could've lasted longer. :/"
"Thu Jun 18 21:55:47 PDT 2009","mrodr108","I hate pimples, I hate my sister for jinxing me and my once flawless skin "
"Fri Apr 17 21:31:08 PDT 2009","missmariant","i wanna make friends at twitter but enybody follow me just 6?? thts's nothing "
"Sun May 31 18:49:12 PDT 2009","Mom_11","@jillybean75 i have them in 2 sizes  b.c they were $2 so I bought both! such a bargain shopper!"
"Tue Jun 02 19:18:54 PDT 2009","clee19","I feel bad for our softball team "
"Fri May 22 06:00:58 PDT 2009","Kikirowr","@epicwinmaster I'll always love you  even if you turn into a zombie."
"Mon Jun 15 16:36:42 PDT 2009","mariaglass1","got great pictures of the abrupt storm in my area. but, since we shut off the computer, I can't share them with you all. "
"Fri May 22 06:53:31 PDT 2009","Lets_Explore","Off to the farm! Last kindergarten field trip for this year... "
"Sat Jun 06 00:04:47 PDT 2009","HollywoodCasi","@FabulouSonia HAHA!  She started it!  Now she'll know not to mess with me "
"Sat May 30 04:20:54 PDT 2009","muvo25","@matsism by the way, no kaziranga  it is open, but it won't be worth a visit in this weather. So, I have to come back - for many things!"
"Sun May 31 23:51:40 PDT 2009","KNMorris","Ahhhhh!!! Finaly Home!!! Got Here A Lil Earlier Than Planed But Thats All Good Doe  Well About To Unpack And Hit Tha Bed, Im Sooo Tired =S"
"Fri Jun 19 08:47:26 PDT 2009","rummanamanda","@MsLierience I don't have a good partner to have fun tonight, he wants to go home "
"Sun Jun 07 08:08:26 PDT 2009","auralynn1","@moixoxo just got my Lucky mag yesterday too "
"Mon Jun 15 22:25:30 PDT 2009","TokioHotel4LYF","@Demi_Lynn lol~ That's one of my favorite parts! "
"Sat May 30 11:03:08 PDT 2009","_ayoobeez","@Rome_Zoe lmaoo. its so hot outside. i don't wanna walk to walmart "
"Sat May 02 11:27:21 PDT 2009","ChaChaLove","omg I just watched a fan made exit vid of Adam to encourage voting and I'm still crying! I SOOOO don't want to EVER see that again "
"Sun May 17 10:59:12 PDT 2009","Mubzy","Revising for Sociology Exam 2moro "
"Fri May 22 07:44:52 PDT 2009","lilredscclv","Im gone miss my bust it babies thats graduating this year.  Awwww man. Lol."
"Mon Jun 01 11:02:29 PDT 2009","bryanarmada","@TellMeYoureOK  dude I know... "
"Fri Jun 19 11:42:34 PDT 2009","hannamg08","I want to go to the pool, but no one will go with me "
"Sat May 30 23:05:35 PDT 2009","salpi1","@sakokassabian and @anidem congrats..now @anidem is a relative to me now wooottt "
"Fri Jun 05 09:18:50 PDT 2009","xarous","@kinagrannis You opening for James Taylor would be an awesome show indeed. I would pay to see it. "
"Sat May 30 17:08:28 PDT 2009","JiveMufasa","Its so helpful having a mom who trained to be a make-up artist haha. She did such a good job. "
"Sun Jun 07 16:02:36 PDT 2009","crazydavisgirl","Hey rachelle is here maybe i wont b so bored after all "
"Fri May 22 02:15:05 PDT 2009","chelsea_playboy","#shaundiviney likes boys. #bradiewebb "
"Mon Jun 01 23:59:07 PDT 2009","analysisofpoe","oh man i'm sooo worried i'll fail by BTT tomorrow "
"Fri May 22 05:08:36 PDT 2009","lbreezy09","fuckkkkk im so hyper i wanna run through the hallways right now and scream "
"Fri May 22 06:19:25 PDT 2009","intelligentSHAY","Thank you Lord for one more day....i give you glory "
"Mon Jun 01 17:40:17 PDT 2009","sydneymarkey","@the_summer_set Sydney Markey/ sydneymarkey@gmail.com/ Tustin(0range County)!! "
"Sun May 31 16:18:23 PDT 2009","LittleBitTwistd","@JKsGirlx2 i dunno - who knows if they'll ever get married now that jess&amp;joe are history! "
"Mon Jun 15 15:05:53 PDT 2009","noobde","@OliverDietmar Trust me, it was more disappointing for me. I worked a lot of weekends on that.  "
"Thu Jun 18 13:15:25 PDT 2009","Drafzilla","lunch break. sitting at taco bell by myself "
"Sat May 09 23:51:36 PDT 2009","LJ4U","Well, it was very inspirative day. There's no room for design in todays schedule, so i'm heading to bed "
"Sat Jun 06 11:15:27 PDT 2009","ullychristie","@tommcfly No, i think that this way is better "
"Fri Jun 05 11:53:59 PDT 2009","McFlyForGermany","#mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany "
"Wed Jun 17 05:34:29 PDT 2009","josh4293","finally finsihed art thing, but not in time to be able to watch that 2 1/2 hour movie tonight "
"Sun May 17 10:09:06 PDT 2009","davidi4","@tomanthony ha ha - summer school "
"Tue Jun 16 02:53:14 PDT 2009","BLDI","Whatever it is you are feeling is a perfect reflection of what is in the process of becoming! "
"Fri Jun 19 20:12:08 PDT 2009","KamiJae12","At home lookin at the wall  ugh guess its off to see my love. Until I go to work."
"Sun May 31 07:51:04 PDT 2009","mandyleeann","@ktnestingspot Thanks SO much! "
"Thu Jun 18 18:06:05 PDT 2009","SaBREEBREEna","I had to go home "
"Sun Jun 07 07:38:06 PDT 2009","britnich21","I feel scattered this morning. The power must have flickered cause I woke up to a blinking alarm clock.  abt to pull in the church."
"Sat Apr 18 07:04:27 PDT 2009","eglia","completely failed to upload my cute picture... format too big "
"Fri May 29 23:54:04 PDT 2009","davechurchill","is going to miss everyone "
"Tue Jun 23 08:30:41 PDT 2009","Natterz85","@ibeale jealous.com! Re 2nd - it's my bloody late night at work so no can do  but drinkage is long overdue nevertheless!"
"Sat Jun 20 16:36:49 PDT 2009","mskji","Tried baking cookies, but apparently tea-spoons and cups aren't interchangeable. Also, my stomache hurts. "
"Sat May 30 09:49:09 PDT 2009","lucianamiho","Twitter HATES me!  What I do?"
"Sun Jun 07 10:57:34 PDT 2009","el_eeee_yahhhh","last dcdp rehearsal weekend! "
"Mon Jun 01 02:00:25 PDT 2009","beetrice","@fortheloveofme ooo...have fun!! "
"Mon Jun 01 03:55:31 PDT 2009","phildev","if you look like shit and feel like shit does that mean you are shit? "
"Fri May 29 16:12:36 PDT 2009","Fire_at_will_xo","@hopeless_hearts hey,got your text. cannae hen, family are comin over  i've got nae money to come to livi anyway  xxxx"
"Sun Jun 07 06:18:15 PDT 2009","emotionalpedant","@FelipeAzucares it is yes "
"Fri May 29 17:14:51 PDT 2009","Musicgrl802","At my cousins house....playing around. I wanna go to the mall tomorrow! "
"Mon Jun 15 06:59:21 PDT 2009","SoulSessionsDC3","@KELLY__ROWLAND thaaaaank u Kelly!!! I go to the show of David in Barcelona  u go to this show??? I need u see again! miss ya!"
"Sun Jun 07 14:33:14 PDT 2009","cjh78","@nateritter If you guys can't make today, it is every Sunday from 2-3pm. Did I mention it's free?! "
"Sat Jun 06 21:43:33 PDT 2009","qhxoxo","Ohno it's raining  hope it doesnt affect the BBQ later!!"
"Sun May 31 11:50:39 PDT 2009","johnbiehler","Wish I had planned my flights better...could have went to Maker Faire! "
"Mon May 18 04:36:36 PDT 2009","LifestyleOnline","Recommended @tanyaigic to @MrTweet 'Tanya's jewellery is like her, beautiful, unique and exquisite  x' http://cli.gs/Ruu26p"
"Sun May 31 18:02:11 PDT 2009","Pharenhyt","Well the 1st time movie experience for my son was Great! "
"Sat Jun 06 13:16:39 PDT 2009","Emoly_","@petewentz How Dya Get OverCast Kids? Iv Tried But You Have To Pay In Dollars And Im British. Help Please  &lt;3 x"
"Thu Jun 18 07:37:55 PDT 2009","nzgal1976","@manda718 I ordered on the 15th &amp; mine is still pending "
"Sat May 09 20:51:20 PDT 2009","ttolf","Such a long day!!! So much fun though  tomorrow will be just as much."
"Sat Jun 06 21:18:13 PDT 2009","kailynnn","Who told you this?   "
"Tue Jun 16 03:07:52 PDT 2009","StridentUK","I'm so rubbish at keeping up with my blog. Articles never seem to get into shape quickly enough. "
"Fri Jun 05 21:10:31 PDT 2009","jeffreeefans","Yea twitter is down for scheduled maintenence "
"Tue Jun 02 02:57:11 PDT 2009","kazuhito","is now just in front of @kirara_397 "
"Sat May 30 11:00:36 PDT 2009","gravityrose","Driving around Athens. Nice day. "
"Thu Jun 18 13:47:43 PDT 2009","amyshen","wish I was going to the DMB / Jason Mraz concert in August "
"Sat Jun 06 19:05:14 PDT 2009","shortyyyy","@Bojanamcr My friend sent me videos of the gig. IT LOOKED SO GOOD. "
"Sun May 31 06:01:29 PDT 2009","Kiimm__x","ohhh, robby ray just say dang flabbit, good times! "
"Mon Jun 15 19:17:23 PDT 2009","GeekofTodd","@BirdmanDodd I hope you can go to SGC man. Sadly I can't "
"Wed Jun 03 03:23:13 PDT 2009","musicgeekhehe","cutest music video ever: you belong with me by taylor swift (its soo adorable! "
"Wed Jun 17 17:39:23 PDT 2009","NettieBoom1","great visit with my boy! i love him &amp; miss him soooooo much "
"Mon Jun 15 06:51:22 PDT 2009","IILUS","@ejly Great to hear! Thanks for the feedback "
"Sun Apr 19 06:32:46 PDT 2009","alexsmommy231","I want waffles... "
"Sun May 31 03:38:06 PDT 2009","cuteredshoes","Looking forward to Wardy's design brief! Yay a love job for somebody I love! "
"Mon Jun 15 06:13:05 PDT 2009","megan_kathleen_","eww the bottom of my cup tastes like pickles... i need better roomates. "
"Mon Jun 01 02:30:11 PDT 2009","RayYAY","fuck it  lets find a bar, so dark we forget who we are."
"Sat May 30 07:09:45 PDT 2009","Precious2116","Tiring day with all the work and sad news  sad sadder saddest...."
"Mon Jun 01 06:36:31 PDT 2009","jenxer","@wikipeteia heh, I said #getoffmylawn enough times that I'm now being followed by a senior housing marketing company. "
"Sun Jun 07 01:56:02 PDT 2009","linebrennhaug","morning, again. school tomorrow "
"Sun May 31 01:49:36 PDT 2009","davidjdalton","@robbcox Long locks (gorgeous + intact) just left to go sing actually.  Lotsa fun "
"Fri Jun 19 19:54:31 PDT 2009","AppleAnimal","@LunaJune yeah,I deny myself of my feelings cos I worry about hurt and shit  sorry for language"
"Thu Jun 25 04:07:09 PDT 2009","jameshadisurjo","@alanakhea look at his outfit! Ohh...  not fun. Anyways, the courts here are sooo awesome!"
"Sat Jun 20 20:54:55 PDT 2009","bbyckszimo","I really really want to go to Warped Tour!! "
"Wed May 13 23:36:08 PDT 2009","AshleyTayco","Dumb decision #532532823985... I don't like school anyways "
"Sun May 17 10:29:11 PDT 2009","PluginStereo","GOING ON TOUR WITH RYAN CABRERA IN AUGUST! "
"Mon Jun 01 00:41:18 PDT 2009","tuoppii","all out of oatmeal "
"Mon May 04 05:13:53 PDT 2009","magik_cypress","Awesome and exciting  http://www.sundancechannel.com/greenporno/"
"Wed Jun 17 01:23:25 PDT 2009","blondi3_86","@littlemissscifi man i would be so there if i had the time off/money!!!!     perhaps i could do the bellagio and the mgm!! lol"
"Wed May 13 21:48:22 PDT 2009","jasononey","@MilaXX okay. Cool and thanks for doing this "
"Sat May 30 16:13:56 PDT 2009","brownhoney","@DeeBrownMan  I actually knew that but it makes me smile to read it. Smooches w a great big hug."
"Sun Apr 19 05:38:39 PDT 2009","MandyyJirouxx","Ichat dates r fun  gnight xooo"
"Sat Jun 06 22:07:50 PDT 2009","juice182","@crystinonfire cant find anything that will take up the whole screen "
"Sat May 09 23:57:00 PDT 2009","xojoejonasox","Goodnight fellow twitters and tj ststas "
"Sun Jun 21 00:11:18 PDT 2009","lostinfiction3","Feeling some sort of way right now. A feeling I'm not sure I can identify... "
"Mon Jun 01 20:32:48 PDT 2009","megglesworth","watching Conan tonight.. Listening to &quot;New Day&quot; right now..amazing song...everyone go listen to it..please? "
"Mon Jun 01 12:21:25 PDT 2009","genehayes","Wow that was Yummy "
"Sat May 30 23:31:14 PDT 2009","indyval","@izsy_xox ummm why are you no longer following me? "
"Tue Jun 16 00:56:12 PDT 2009","etherius","@TheImperfect No worries. I found alternate plans. "
"Sun Jun 21 08:10:54 PDT 2009","GraceMcEwen","@MMaritza HAHA. i doubt she'll come to K-town. not enough paparazzi for her ;) ahha jk. i dont wanna study for science! "
"Sun Jun 07 19:48:29 PDT 2009","JennytG13","@AriesChild Petition: @BETAwardsInside &amp; @BET to DAY26 At The BET Awards http://twitition.com/m3v2n idk if u signed but plz do if not "
"Sat May 30 06:20:46 PDT 2009","DollyOblong","@stickypop It's the rainy london dunny by triclops  Should still be available to get hold of me thinks"
"Sat Jun 20 18:25:42 PDT 2009","HayleyyFitch","@erikaANGEL thats okay all my friends are going to a party tonight  i feel like a loner! hahah"
"Fri May 29 18:49:52 PDT 2009","november19","@paleenigma CONGRATS TO YOU!  Tho God only knows why you'd want to leave British soil for the USA!  Be careful!   NIN SOON!!!"
"Mon Jun 15 11:07:55 PDT 2009","turbobrown","just saw a job ad looking for &quot;synergistic business professionals&quot;...can someone tell me what that means? "
"Tue Jun 16 01:08:54 PDT 2009","pandaaMONIA","@loz_chanteuse aww  - why i dropped OHS really fast. too stressful. are you dropping next year?"
"Sun Jun 07 15:27:58 PDT 2009","danideex3","Catfish are so cute! Too bad my grandpas gonna cook him "
"Fri Jun 19 06:17:40 PDT 2009","glodowg","@Mr_Dowg oh no!  I am sorry "
"Thu Jun 18 12:21:35 PDT 2009","yagulmez","@RealistOne09 Nope!! Jay didn't even tell me "
"Fri May 22 05:38:17 PDT 2009","LaurahOC","@Galiiit we're doing the castle. "
"Sun May 10 07:48:56 PDT 2009","MikeChaneyNews","@oboroclove that's ok  I was sad but i'll get over it"
"Sat Jun 06 21:35:11 PDT 2009","natneagle","@Martinadawn1 OMG thank you "
"Thu May 21 23:48:25 PDT 2009","paolagarin","omg ma�ana comprare mi cd de tokio hotel... hey @VickyJones1984 you should record a cd your voice is beautiful i would be your fan "
"Thu Jun 25 06:38:01 PDT 2009","digitaltempest","It's not organized here. I feel aimless and I hate feeling like this. Not to mention that work was fun because of the ppl I worked with. "
"Sun May 31 11:41:41 PDT 2009","Betcha","@Sam_Marder_BHB Yeah Sam!!!  Now we know you can cook too "
"Mon Jun 01 20:03:26 PDT 2009","MauraRoxanne","@TknoSxMnky hates me.  Ignored my call. "
"Mon Jun 01 12:59:39 PDT 2009","GoChloeeyy","@goaudio very good  your getting in with all the new tchnology now eyy. geek "
"Sun Jun 07 14:01:57 PDT 2009","cristinaveee","@hurricanethao lol, I have to ride back "
"Tue Apr 07 05:24:24 PDT 2009","pdaonline","Ok.. Loving &quot;Here&quot; and &quot;Hey Valentina&quot; on the new Prince album(s).. "
"Sat May 30 22:41:26 PDT 2009","marykatemurray","@macsmom thanks! i think so. "
"Sun May 31 12:05:16 PDT 2009","Natalie__xo","@beckskl Nooo tom is the best! &lt;3  Danny barely tweets at all   lol i like how Harrys there for some reason even tho he never tweets! aha!"
"Tue Jun 02 07:58:39 PDT 2009","vretallin","@cherydactyl one thing at a time. You'll get through it all. "
"Sat May 30 20:06:48 PDT 2009","LaTiSha81","@PS_Michelle Uh oh! Mine is with his aunts tonight "
"Fri Jun 19 23:35:04 PDT 2009","xMyLifesAStoryx","so gran torino just made me cry  the ending is so sad!!!"
"Sat May 30 11:00:21 PDT 2009","singingstar324","@HilaryADuff heyyy!!! You are awesomeee!!! "
"Sun May 17 01:10:48 PDT 2009","alexandermcnabb","LA based foodies flock to Twittering Korean fast food trucks. @WildPeeta's up there wid da best of 'em! http://twurl.nl/h3m5qz"
"Wed Jun 17 12:40:23 PDT 2009","jydog25","going to the grocery store. One of my least favorite things to do. "
"Sat Jun 06 17:09:51 PDT 2009","jamister","Air is in the shop.  No laptop for a week. "
"Mon May 18 00:46:48 PDT 2009","sunshinehollyyy","they showed a JONAS add  naww. i love them."
"Sun May 03 03:05:38 PDT 2009","samharding","wonderfully slow start to the day. BUt now for shopping and then on with work "
"Sat Jun 06 21:07:26 PDT 2009","carrielinn83","@jfer32075 everyone in my family gets tan but me "
"Sun Jun 14 22:35:46 PDT 2009","tanzy1998","@VH1Shows @VH1CHANCE Chance why aren't u answern our questions? We can do shit 4 u ! "
"Fri May 29 13:49:00 PDT 2009","swallow_elxsol","@travisjestes  never have good dreams like that.  "
"Sat May 30 03:16:32 PDT 2009","XxxKyrstinxxX","totally luvin the sun1  gonna miss the final 2nite "
"Mon Jun 15 07:49:25 PDT 2009","vic198x","Mưa, thoải mái vãi. Tối nay có khối thứ để l�? m�? "
"Fri Jun 19 08:39:23 PDT 2009","rammycrofts","Is tired "
"Fri May 29 10:37:03 PDT 2009","syarif_m2e","@fixbay my room full of spider bed. spesially in bedroom. lol. well as they not distrub me. i wont kill it. its created by god too "
"Wed Jun 03 10:48:42 PDT 2009","BuschConvStore","Busch Campus Convience Store of Barnes and Noble Rutgers is definatley cool enough to have a Twitter "
"Mon Jun 22 19:02:01 PDT 2009","thaysazeredo","por que a miley nunca me responde no twitter? "
"Sat May 30 15:52:55 PDT 2009","emark0","dance recitallll! speech at the end of the show with Barcode that will make me cry  Xo"
"Sun Apr 19 00:31:30 PDT 2009","NouFita","Sleepy  Plus I should study 5 chapters for stupid Envo course ,Dunno when can I finish "
"Tue Jun 23 17:16:47 PDT 2009","hailey_letang","@mhcranberry i read that article on votto, not gnna lie i had a few tears  thats so sad. i feel for him"
"Tue Jun 02 06:54:03 PDT 2009","bogwhoppit","@scholesy111 take it u like celebs then "
"Tue Jun 23 09:29:04 PDT 2009","clarketray","mayb not its pissin it dwn x  x"
"Thu May 14 10:08:10 PDT 2009","feliw","@knoxville1 Yes Bar Marmont love! Sorry no Leto.  My friend met him a couple weeks ago. 30STM invited fans to..."
"Sun May 10 09:18:55 PDT 2009","TranellJ","I guess I need to start gettin ready...  But I don't wanna... -sniff-"
"Tue Jun 02 02:27:09 PDT 2009","my_ambition","i just hope my mother comes along with me "
"Mon Jun 01 08:12:55 PDT 2009","Puppatoons","@mintconspiracy Good luck at the dentist, sweets. "
"Fri May 22 04:18:03 PDT 2009","BlueEyed_Cat","BTW i dont usually do this unless i dont like you and u piss me off  #shaundiviney #andyclemmensen #bradiewebb"
"Mon Jun 01 08:14:43 PDT 2009","Msbizzy","I feel like crap i hate being sick "
"Mon Jun 22 15:49:37 PDT 2009","natnatty","@deziak1906 lol I wish! I was in Sac but I had someone go for me and they said it was hellla people "
"Mon May 04 00:56:29 PDT 2009","MarkSedney","@blogrworld still need to be connected to the www and telephone.  So work in progress. Moving in this week. http://twitpic.com/4j9e2"
"Sat Jun 20 13:19:16 PDT 2009","SapphireSoaps"," can't make any labels til my computer is fixed..can't fix my computer until I make some money..can't make money unless I sell soap grrrr"
"Mon Jun 01 06:33:01 PDT 2009","jeremullen","I look like a serious cross between pretty in pink and red hot chili peppers. need to baby this burn I don't want to do a body peel... "
"Sat May 30 21:06:06 PDT 2009","lilbit_jojo","I'm starting to think all the people I follow who live in Houston, don't have tattoos. Hmmm. All these artists and muscians with no tats. "
"Fri May 22 07:33:46 PDT 2009","elfennau","@Oxhorn Xbox Live = easy way to watch streamed Netflix on the HD TV. "
"Mon Jun 01 20:50:53 PDT 2009","twistuvfate","@_cupcake why are you not seeing Eminem tonight?!  boo! i love workin' out to some of his songs... haha! rawr!"
"Fri May 29 12:06:43 PDT 2009","laurentess","Why do I always have a headache? "
"Tue Apr 21 04:01:29 PDT 2009","firefluff","The Wurzels are cool though  http://www.thewurzels.com/"
"Sat May 30 06:54:54 PDT 2009","shanajaca","Hahahaha Planet of th apes is on television old school i love those and the kids havent seen it yet what a nice treat  XX"
"Sun Apr 19 04:46:11 PDT 2009","MatildaGretchen","Hello twitterers! It's a lovely sunny day, but due to still being floored by a horrendous cold I shall be spending the day under a quilt "
"Wed Jun 17 22:21:13 PDT 2009","kylesanclemente","Y the train of anti-me-ism  i dont like this train it makes me sad"
"Tue Apr 07 08:30:25 PDT 2009","tadbarker","OMG - Film: Masters of the Universe! Special film   \o/ Dolph, where was your head at?!       * L &lt;3 V E *"
"Sun Jun 07 00:57:35 PDT 2009","scottiejen","going skating this morning - first time in a week andcan't wait just to get my mind off everything else "
"Sat Jun 06 15:57:43 PDT 2009","dirtybubble1332","pulled out my gameboy classic to play tetris and the screen fell off. can't find my tetris game anyway. "
"Thu May 28 23:57:04 PDT 2009","WTFJAY","@TikkaMadsen Goodnight  Thank you "
"Mon Jun 15 06:37:34 PDT 2009","jillianriscoe","@Rebekahxoxo haha well we got her okay so..haha "
"Sun May 03 02:06:26 PDT 2009","nereaLA","we have a problem..... are really insomniatic..,.... "
"Sat Jun 06 06:17:16 PDT 2009","miggyblahblah08","@chelseashake coz its alcohol based :p i prefer the pineapple sunset thingy "
"Thu Jun 25 02:29:05 PDT 2009","sing4u77"," yeah i do"
"Sun May 31 07:27:59 PDT 2009","DJPSI","1. Kaskade - 4am (adam k &amp; soha remix), 2. Dakota - Johnny The Fox, 3. Mr.Pit vs. A&amp;B - Shana Can't Sleep. 3 Tracks I dropped at Motion. "
"Thu May 28 22:36:42 PDT 2009","jorgie_17","Okay cool "
"Sat May 02 22:08:12 PDT 2009","faniellestunna","@kwadmajestic i knoooo. womp womp womp  i missss everyone lol"
"Sat May 02 02:01:17 PDT 2009","MatthewBryan","@CaseyMosh Heyy.x. Thanks for following, looks like your new, soo.. WELCOME TO twitter.  ..!!!"
"Sat Apr 18 14:55:07 PDT 2009","stark23x","@atropp Hand to God its true. the dairy is good for gout. bad for waists.  Don't hurt that is is pure awesome in disc form. #pizza #woohoo"
"Mon Jun 01 13:27:48 PDT 2009","dragonrunes","my hunny lost his job last week  He is still looking for work."
"Tue Apr 07 08:13:58 PDT 2009","Dynesysgirl","Desperately tired with another late night to look forward to  roll on Easter break!"
"Sat Jun 06 14:47:53 PDT 2009","morganhipp","absolutely loves the Harry Potter books. "
"Fri May 22 07:47:18 PDT 2009","itworkslynda","16 years anniversary today and have to be on the road again... "
"Sat Jun 06 14:05:12 PDT 2009","smiles4dayyz","iight everyone ; im out! hit ya' on twitterberry! -- food at &quot;golden nugget.&quot; - yess yess. tlk to me nice.. "
"Sat Jun 06 23:38:19 PDT 2009","MakulaTolkien","@PS3Nation wow you really support the PSN store lol. well I've spent a lot of money in LBP and I don't play LBP anymore "
"Sat Apr 18 22:47:51 PDT 2009","SydneyLeAnn","FINALLY! "
"Sun Jun 14 22:27:10 PDT 2009","Bettyispretty","Urgh...feel wretched.  Thought I'd had my turn at being sick.  It's tummy bug time. "
