"date","user","text"
"Fri May 29 14:12:25 PDT 2009","gogodancerSammy","is playing fable II cuz she's a nerd!  "
"Sun Jun 07 03:07:50 PDT 2009","SaraMcFlyx_x","@McFlyingGirl Yes, on Tuesday  x"
"Fri May 29 18:39:44 PDT 2009","JustBon4","I am still excited about my Purple Star lens   http://bit.ly/14WTse"
"Sat Jun 06 21:17:29 PDT 2009","Jayd408","It's a sad day when your roomates dog finds a way to display your womanly issues all over their bedroom floor "
"Sat Jun 06 08:49:18 PDT 2009","Haunt1013","A 40-year old man in a kilt hanging out at Chuck E Cheese. Nope, nothing awkward here. "
"Tue May 26 21:59:53 PDT 2009","spiritdeus","@justdevin oh man   #Yankees are coming back - real nail biter.  Go #Rangers Go!"
"Sun Jun 21 06:56:06 PDT 2009","Clarko141","haha i found my two other mp3 players  now i have three, although i did have four but one broke "
"Mon Jun 01 01:54:14 PDT 2009","PaterzAttack","Awww... Schneizel! Why do you have to gun down your own sister? "
"Thu May 28 23:45:25 PDT 2009","brinshannara","@lovehound Leave it to @SillyPhylly to be on top of stuff!  #BAM"
"Sun Jun 07 18:01:17 PDT 2009","sinspired","@pcharing Dude best be kidding! *mwah* Missed you! Still need to upload that thing you sent into my reader. "
"Sat May 30 05:48:41 PDT 2009","Bambi_2790","@JenClaude sounds like fun  I know! I'm really worried actually! You planning on uni? All is good with me, I'm slightly sunburnt though X"
"Mon Jun 15 04:54:12 PDT 2009","mdzulkar9","@elisanice good but when people just hover your account and just see... ahh lurkers. "
"Sat May 02 07:08:05 PDT 2009","davepdotorg","@ShutterBetty I just like to say.... WOOHOO! "
"Thu Jun 25 00:43:42 PDT 2009","d33pak","@sidhartha256 Oh god! i donno how these ppl even browse here.. they are giving us 5% of the total bandwidth! "
"Sun May 03 04:06:08 PDT 2009","LarkinWarner","just got home from work  sleep? I think not."
"Sun May 10 07:28:57 PDT 2009","juliebacon","Heading to the mountains for a hike with Kate and the dogs  Our version of mother's day! Ha!"
"Sun May 03 06:08:30 PDT 2009","2v","I wish my wife did not have to drive back to Georgia today "
"Sun Jun 07 00:51:22 PDT 2009","j_anne_","@SoGooey @LionGali I freakin wanna see you guys  I really miss Leo's elbow!"
"Sun Jun 07 11:14:47 PDT 2009","jamerz3294","@ShellyKramer Thumbs up "
"Fri Jun 05 09:16:03 PDT 2009","EDreaming","@yasmin86 NOOOOOOO  how come?"
"Sun May 17 07:52:36 PDT 2009","oohafezah","@Qilly homework finisher! hmpf "
"Sat Jun 20 00:07:49 PDT 2009","julieannedaniel","i have simmed too much today (never thought i'd say that!) - i've got eyestrain now "
"Sat Jun 06 13:14:45 PDT 2009","itsKRYST","WOOO! Bumped my grade up !  !!!"
"Tue Jun 02 19:19:37 PDT 2009","assante","@indiashawn "
"Fri May 29 23:44:21 PDT 2009","chrisabad","@alexbard pretty good. Had to leave,, but left the left rest of the guys with plenty of stickers. "
"Tue Apr 07 01:07:45 PDT 2009","lahood19","finally finished my first paper of the term "
"Mon Jun 15 16:37:03 PDT 2009","ms_sugakane","@sexysti It will be fun... "
"Mon Jun 01 16:53:55 PDT 2009","MadisonPickerel","Someone come get me out of my house "
"Fri May 29 21:33:27 PDT 2009","ceejayrossi","drunk! eating peantu butter cookies "
"Sun Jun 14 23:37:48 PDT 2009","sharonhayes","@MikeWhitmore I didn't see the pics yet! "
"Sat Apr 18 08:21:47 PDT 2009","Journey1214","About to head to Boston for some out of control times  TG for Vaca"
"Sat May 30 09:05:35 PDT 2009","SwellFi","Love fun in the sun.  But dont want to work! "
"Sun May 31 02:20:18 PDT 2009","Sazchik","@giagia Truer words have never been tweeted  x"
"Sun Jun 14 22:27:24 PDT 2009","jonathan707","@hazeldb I love both of the songs you mentioned. They remind me of koit 96.5. "
"Sun Apr 19 07:07:21 PDT 2009","julianne79","Check stef's facebook she is bragging about and the others....so pissed off..makes me not wanna go back because of all this crap "
"Sat Jun 06 22:10:55 PDT 2009","akojen","@Valkyrie_NYC mmhmm...I think you told me.   I've got a mixed bag on my iPod.  But I have E pins all over my work hat!"
"Fri Jun 05 22:57:08 PDT 2009","faabianne","i can't handle with this lentor. ¬¬ BEDTIME!  see ya tomorrow, twitters! and i hope get my note back! (yn) i'll answer tomorrow! :}"
"Mon Jun 22 16:37:24 PDT 2009","fiftycenthead","@HeatherPark   think of the cute puppy"
"Fri May 29 13:53:07 PDT 2009","manda_rama","Almost 2 more hours then i'm out of work. Time couldn't go by any slower. "
"Sat Jun 20 13:11:05 PDT 2009","leahmansfieldx","@PrincessSuperC WHY DIDNT YOU COME TO DUBLIN WITH BRIT. "
"Sat Jun 06 09:47:08 PDT 2009","aNorthernSoul","@TheSheila Indeed! Wave pool and everything. "
"Sun May 17 08:32:53 PDT 2009","zem42","@thoughtdancer sorry  to hear that "
"Mon Jun 15 05:00:17 PDT 2009","missauribaby","Ok, Im done, have a blessed day everyone! You woke up, thats a start, so go from there "
"Fri Jun 05 20:59:21 PDT 2009","anneANDsam","@Taytaytnk awww , thats cute, i feel so bad "
"Sun Apr 19 04:36:36 PDT 2009","ainhoa_","@ddlovato Are you in Madrid now? OMG! haha you are so tired  go to sleep and have fun in Spain!"
"Sat Jun 06 13:24:55 PDT 2009","selimtavux","The new version of Greenweez was relased today... I was a developper in the project team during May  http://bit.ly/EGAka"
"Sat May 30 12:08:44 PDT 2009","Krystalshayyy","walking around downtown with nick "
"Sun May 10 01:56:42 PDT 2009","fjkeogh","@ALOliver i bet they did  some people have no ideia or standards  have a lovely time the pair of you "
"Sat Jun 06 07:11:41 PDT 2009","JodiCleghorn","@Pentenscribes good morning Olive ... I'll be disppearing to bed shortly   up late working"
"Sat Jun 20 07:14:07 PDT 2009","clarajonas","cant get my photos. problem with memory card. next week 'lah' tweeps "
"Fri May 22 04:24:14 PDT 2009","eugenechua","is toiling through spreadsheets with glee. "
"Wed Jun 03 01:51:01 PDT 2009","__mandy__","urgh my computer is going REAL slow "
"Mon Jun 22 15:12:51 PDT 2009","mintsource","Great show by the @petshopboys tonight saw them 20yrs ago more or less exactly for 1st time which makes me feel quite old "
"Sat May 30 22:55:01 PDT 2009","SammyAndRyann","Wow im so tired i want to go to bed but my brain wont shut the hell up "
"Mon May 04 05:47:41 PDT 2009","tthartsya","naplan testing sucks. i have the real thing next week..  ahhhhh"
"Sun May 31 06:57:45 PDT 2009","iheartmeowing","@changdice: looks like you've been studying real hard, you deserve a gold star. "
"Sun Jun 07 10:19:49 PDT 2009","rozoonthego","@Kissthedeejay LOL too cute "
"Fri May 29 16:42:51 PDT 2009","XPIZZAX","My vibe is currently downed.  The only thing amusing me is my Joker shirt. *Looks down and pokes shirt* I want a peanut butter sandwich..."
"Mon Jun 01 09:23:55 PDT 2009","BonesCrazy24","@AgentSullivan eep! Bug attack not great !I'll talk later,mayB I can entertain yu somewhat with my witty conversation LOL Tweet ya later "
"Sat Jun 06 04:00:04 PDT 2009","VivianaOrjuela","In a Supple Strengh course "
"Thu May 21 23:42:08 PDT 2009","hojoe","well i would hope it's all pink lol that's not very nice "
"Sat May 02 05:22:20 PDT 2009","rarbol","is way sad. "
"Sun Jun 07 12:22:16 PDT 2009","caaaroliine","@JFizzo i knoooow  dead exciteddd"
"Mon Jun 01 09:18:57 PDT 2009","jamesbarros","Its difficult to separate  the teaching method from the material sometimes. "
"Thu Jun 18 14:07:43 PDT 2009","amberbeee","penelope is one of my all time fave movie. Right now all i want to do is go home and snuggle up and watch it. Instead im freezing at work "
"Sun Apr 19 12:06:06 PDT 2009","kating9","@KourtneyKardash ...happy happy birthday "
"Wed Jun 03 01:02:24 PDT 2009","wooglemyshoogle","@ROCKGUITARZ: Hahaha, yeah! I got it. In the &quot;small sample pics&quot;, did you take those pictures yourself?! Yay~ Sci-talk weekends! For sure "
"Sat May 30 11:26:02 PDT 2009","camiw2","@typicaldoll what do u think about me? i just cant live without you in friday ,and in the phone talkss everyday !  i thinhk im gonna cry"
"Sun May 03 10:01:36 PDT 2009","lalaATROPHY","I don't feel like doing anything today. I have a fever "
"Fri Jun 05 15:52:43 PDT 2009","sadly_anyta","One more weekend...Once again my bf is drunk...  but this time i didn't let him come home.i hope i did it right."
"Mon Jun 01 05:10:05 PDT 2009","qrasio","@petyosi @hristo_deshev това #antigeek �?е заформи като ваш �?об�?твен subspace в twitter -  http://bit.ly/EbSHd  ама вече и аз �?ъм вътре..."
"Tue Jun 23 11:56:37 PDT 2009","ichibancola","Nauseated. Doorhanging. "
"Sun May 03 03:06:49 PDT 2009","thirtysix","I've won the signed Brotherhood of the Daleks Big Finish CD in the charity auction it went for my limit price so it was meant to be "
"Fri May 29 09:50:44 PDT 2009","JamiePanda","getting ready for work... laying by the pool all day on sunday if anyone wants to join me "
"Sun May 10 06:59:03 PDT 2009","RALBxix","says I'm still not yert eating  http://plurk.com/p/sxbod"
"Fri May 29 14:20:16 PDT 2009","A1nz","@DannyPitt come up stairs, step away from the pc "
"Sun May 31 07:11:59 PDT 2009","Brenduska","Brought Blue-Jay home with us last night and she took a shit in our game room 10 minutes later. Oh, baby puppy. "
"Mon Jun 01 03:37:16 PDT 2009","tia_luvsday26","@DawnRichard Mornin Dawniie;I hope yur night in dha studio was a productive one.I luv yu nd look ^ 2 yu a lot.Keep ^ dha good werk "
"Sun May 31 17:24:13 PDT 2009","Brittnayxx","Home. Burnt from the sun today  but who cares."
"Sat Jun 06 17:17:06 PDT 2009","Stacina","Oh right:  &quot;...this beat is SICK&quot; lol "
"Mon Jun 15 10:27:21 PDT 2009","nickmason86","Busy busy busy - finally time to leave the office   Think i need to get some fish and chips before the drive to Bedford"
"Tue Jun 16 03:44:18 PDT 2009","mothluna","@zellyb oh NOOOO! Dammit. Your new bag too "
"Fri May 01 22:51:18 PDT 2009","CaptKundalini","Okay, i know it isn't technically Follow Friday anymore, but please follow @Blazingorchidlv "
"Fri Jun 19 17:42:54 PDT 2009","demetriusrocha","eu quero meu wayfarer que roubaram cry2 "
"Mon Jun 15 21:06:21 PDT 2009","deathcab4candi","I think I broke another laptop power chord.  That shit's $80."
"Sat Jun 06 00:55:49 PDT 2009","bctripletmom","@Momspective   You always make me laugh.  "
"Mon Jun 01 19:23:22 PDT 2009","wesleyakio","@corinne I can count on my fingers the friends I have overseas :/ none in France...  when the time is right i'll find a couch!  (hope)"
"Fri May 29 07:37:51 PDT 2009","rxchy","@ShizumaTaka My dad says I'm nearly a full grown hermit.  It's fun, you should try it."
"Fri May 01 21:50:43 PDT 2009","amzii27","loving the sun "
"Sun Jun 07 01:18:26 PDT 2009","m4tt","@deltamat I know mate! The wife has to work this morning so the alarm woke us up "
"Sun May 17 20:40:44 PDT 2009","dana_sweet","looking at pics from back in the *$ days. xmas party of '06. ughhh time fliiiies! "
"Sat May 30 16:17:25 PDT 2009","BT_Halle","@Jazina  don't know how 2 find u...went 2 the site, also went 2 the forum on ning..I must be stupid or something..shuks..now I'm curious!"
"Sun Jun 07 06:59:20 PDT 2009","PH7S","@ariefole back to project natal. Wonder if you can scan a rendang and try to create it on Cooking Mama? "
"Sun May 03 20:51:27 PDT 2009","PrincessPussy","19 days: ok so there are 19 days left of school. i'm not feeling that great as of now though... i'm sad  ... t.. http://tinyurl.com/daa39a"
"Sun May 03 01:05:29 PDT 2009","Layzz13","ny JONAS Party was AMAZING   i will upload something of it very soon! And i watched jonas! OMG best series EVER!"
"Sat May 30 13:12:09 PDT 2009","smileybubbbles","Looking for a new camera!! my old one got sand in it and it dosnt work anymore "
"Sun May 31 16:58:00 PDT 2009","hdmoore","@razorpointer but who else considers the US networks their national assets as well "
"Sat Jun 06 22:18:53 PDT 2009","Ash1eyEve","Had so much fun fishing today! Caught 3... not bad "
"Sat Jun 06 15:03:34 PDT 2009","ItsDNZLA","First i get BLASTED at work THEN this bitch really put mayo on my sandwich!! I SAID NO MAYO HO!!! "
"Fri May 01 23:24:50 PDT 2009","vnarayan","hacked my P1i to install new theme and icons ... some of em work some don't "
"Wed Jun 17 01:36:43 PDT 2009","yaboe","@shaundivineyi think I missed it "
"Mon May 25 10:43:26 PDT 2009","dawnallama","Itchy allergies  Kept making me mess up playing Super Mario!"
"Thu Jun 18 20:22:59 PDT 2009","kfinkelstein","@DCdebbie i don't even want to know "
"Sat May 02 12:48:23 PDT 2009","SimsExchange","add &lt;meta http-equiv=&quot;X-UA-Compatible&quot; content=&quot;IE=8&quot; /&gt; into the head of the page? "
"Sat Jun 06 08:01:44 PDT 2009","steve_steve","can someone give me a flippin job? just because i have no experience or proven skills and a weird face... "
"Thu May 28 22:12:40 PDT 2009","DariusGA97","@CristalDanielle lmao! I actually bought some luggage. U saw my pics? "
"Sat Apr 18 15:20:07 PDT 2009","21ten","#asot400 lmao at mr sam, think of the sly dig at the track he's playing now and with what's going on right now. "
"Mon May 04 04:02:09 PDT 2009","jamesthird","@Will_3rd its so sad tho not long til julius dies "
"Mon Jun 15 13:40:05 PDT 2009","lpfmfan","@lipserviceradio good  don't want you to end up like my cousin. Do you know your major yet? (sorry if I already asked, lol)"
"Sat Jun 20 10:24:15 PDT 2009","BritMichele89","@RyGiE nothing. Lowkey upset it's raining.   you ?"
"Fri Apr 17 21:27:12 PDT 2009","miriamjudd","@allymcfly haha! i wanted to go! but it was to late "
"Fri May 29 14:12:26 PDT 2009","EmilyL219","off to watch cocktail, i dont actually like tom cruise, hes a little creepy but you know its ment to be good "
"Sun Apr 19 04:48:24 PDT 2009","lpsimper","@zetab I hope so too "
"Fri Jun 05 14:37:08 PDT 2009","iamemilybitch","@Haynes_ PIPPA!!!  heyyaa can u please reply to my email on facebook asap!"
"Fri Jun 05 18:33:36 PDT 2009","tamjim","Had to fix tail light during trip   At least it was quick!"
"Mon Jun 15 16:56:24 PDT 2009","SoniaSidhuSUNFM","@Bri_Cook you can pre-order it now but it only gets into the store in january.  i wanted it NOW!"
"Sun May 10 03:48:12 PDT 2009","chamiechamie","13 hours til i'm on a plane. Ahhh yay "
"Sat May 30 07:55:21 PDT 2009","Boy_Kill_Boy","the suns shining why am i in such a bad mood ,,......... "
"Thu Jun 18 19:17:13 PDT 2009","iamkei","@AdeMagnaye I opened my pc and it told me to back up my files. So I took it to the shop and tech said I have 20% chance to get my files. "
"Mon May 18 08:06:20 PDT 2009","nursejennifer","@Denveratlast I have the mom bag with imodium and phenergan!! Keep handy at all times "
"Sun May 31 15:39:39 PDT 2009","Viat","@jeffjarvis jeff. What is the Twitter name of Don Tapscott? Pls help "
"Sun May 31 06:33:23 PDT 2009","Georgia_Johnson","I have the most nastiest taste in my mouth and it won't go away. "
"Sat Jun 06 14:27:27 PDT 2009","devilishdelish","@jgeary have a wonderful time in Guatemala! "
"Thu May 14 07:32:09 PDT 2009","TashaWarrior","@patrickcphoto hey there P! how are things going in your busy life?? I am sad I can't be there for your Model Appreciation!!! "
"Fri May 29 14:40:18 PDT 2009","MarquitaL","@educatedladyA chili-o!! Chili-o!! Can u start making my plate at like 1830 please?? I should be home by 1845 at the latest "
"Sat Jun 20 22:37:58 PDT 2009","meggytron","@CaitlinMF unfortunately he's not in the special features "
"Fri Jun 19 10:10:27 PDT 2009","Tember_Malayna","is still trying to figure this out and its still not working  hehe...ox"
"Fri Apr 17 21:47:21 PDT 2009","MuppetMD","is thinking of his ex Adam. RIP "
"Sat Jun 20 21:47:48 PDT 2009","natkitt","@msidley that's not rubbing it in at all "
"Wed Jun 03 03:57:42 PDT 2009","wjh82881","Mornings bad  going to think happy thoughts"
"Thu May 14 03:15:18 PDT 2009","_gelyte","nk!  - link media mobi girc -&gt;invalid link link media mobi run -&gt;invalid link http://tumblr.com/xhs1s2yci"
"Fri Jun 19 18:21:02 PDT 2009","SuFiGirl35","Im gonna miss him more then my doggie  i have had him for wayyyyy longer"
"Tue Jun 16 03:29:14 PDT 2009","halfbyte","@jelveh Congrats, man. Let this be the year of protonet! "
"Fri Jun 19 16:51:31 PDT 2009","bevsullivan","Had thought that I had recovered from this flu that I had during the week, but woke up this morning and its bck "
"Mon Jun 15 16:31:10 PDT 2009","JediG16","@NikkiBenz The dress was nice but doesn't matter what u wear, u always look great "
"Tue Jun 23 12:40:38 PDT 2009","BUZZY_JELLYFISH","BOREEEEEEEEEEEEEEEED!!!!!!! Not happy "
"Sun May 10 05:23:23 PDT 2009","Rebekah_McFly","@amalinaaa what?  x"
"Sat Jun 06 21:57:43 PDT 2009","ketchupinacan","@theoceanforyou I CANN'T.  Supper mega lockdown. Grrr. :| I miss you guys sooo much!"
"Sat Jun 06 21:40:55 PDT 2009","ki2594","After the radio show, I'll be catching techinfoteam.com up on news. Can't wait til summer to put all my attention on it "
"Sat Jun 06 20:12:36 PDT 2009","md20737","@ElHafiz Thanks for the books I sitll keep track "
"Mon Jun 22 16:53:53 PDT 2009","JillianPolak","@dougdancesdrunk Hahahahaha. I never had one!  I take my road test again on July 9th though!"
"Sat May 30 21:26:45 PDT 2009","GabeAlvarez","@ames43 settle down you. Gym was closed "
"Mon Jun 15 13:49:49 PDT 2009","trace90","wants to go home "
"Fri May 22 01:28:23 PDT 2009","willantrim","@souljaboytellem just woke up with half hour to get showered and shaved and get to work "
"Sun May 03 07:18:49 PDT 2009","betsymaebartlet","ugh i have a crush on jack barakat  this is definitely an all time low for myself. o, you see what i did thur~"
"Sun May 03 19:45:22 PDT 2009","katekintail","@jennlevine I shall not spoil you! But, yeah, absolutely poor Wesley!  I love him muchly! He's one of my favorites."
"Fri Jun 19 02:48:36 PDT 2009","Hardy_Conure","@NickelSilvrWing awww poor you, claire ignores me when i punish bite her too, and that just makes me more sad "
"Fri May 29 20:16:52 PDT 2009","PinkPeonies","@micala Apparently a particularly virulent strep throat is going around. I'm sorry to hear Piggy is sick. "
"Tue Jun 23 09:05:37 PDT 2009","lloydbudd","@timbray still no APE online? "
"Mon Jun 15 02:37:44 PDT 2009","LiannaJeroue","@caityyT Two words: Got Milk? "
"Thu May 28 20:46:36 PDT 2009","L000x3","oh how about im home for a total of three days in july?! "
"Sun May 31 18:28:12 PDT 2009","joanne7964","@Naked_Jewelry Thank you for voting for my site "
"Mon Jun 01 18:58:29 PDT 2009","kozay_san","Today is JFKHS graduation! It should be a good celebration "
"Sat May 30 20:26:41 PDT 2009","letlovego","Going to watch UP at the drive in with my cousin. Mmhmm "
"Sat Jun 06 16:51:49 PDT 2009","takeherthere","Not feeling well "
"Sun May 31 11:07:45 PDT 2009","lrv94","@amberback Yeah but windows made the server 2003 so its partially windorks thought ;) But I get where your coming from "
"Sat Jun 06 16:33:10 PDT 2009","ohiosweetie81","@Makaio8688  aw r u always this sweet? we need more guys like u guys in the world u 5 r amazin keep bein u theres nothin we would change."
"Mon Jun 01 17:27:52 PDT 2009","IgnaciaB","I want to see the hills finale tonight... Not seeing the next season tho..   No more lc"
"Sat Jun 06 15:07:50 PDT 2009","wiwienne","@john_jay_wilson http://twitpic.com/6qtbf - This a superb city, and a beautiful country! I hope for you like this city and country. "
"Wed Jun 17 16:54:36 PDT 2009","iamstevehalay","tired restless... promoting all day for the view lounge "
"Sun May 17 11:48:37 PDT 2009","fadeoutfeelings","actually looking forward to tuesday and wednesday this week "
"Mon Jun 01 19:54:43 PDT 2009","SaraaprilinCP","Contest! Ivanrf’s Dojo Igloo : This Is Ivanrf’s Igloo  I LOVE all books in here…I think I will visit and rea.. http://tinyurl.com/lwru2s"
"Sat Jun 06 10:54:53 PDT 2009","CinCin757","Cassidee getting ready for Prom tonite. I think I've got an ear infection. Fevers off and on too.    "
"Sat May 30 15:42:51 PDT 2009","establishedin89","At my sisters dance recital. She now knows how to put on make up! They grow up so fast. "
"Fri May 29 20:37:20 PDT 2009","thepetshopboy","http://twitpic.com/68g8y - cuz &quot;i can't smile without&quot; barry "
"Mon Jun 15 02:23:42 PDT 2009","wendywings","@SFDoug yuck I would rather chew my own food "
"Thu Jun 25 06:21:10 PDT 2009","qachat","@Chookooloonks Heeey!, you can get halal, vegetarian Indian food at the side of the Road! and that's why we L-O-V-E T&amp;T (minus crime "
"Sun Apr 19 00:12:28 PDT 2009","JesseW84","night all... @shirkinerd and welcome back Shir, next time, I have to see you, whether you come around here or I go up there "
"Tue Jun 16 08:28:27 PDT 2009","racethetrain","COuld Have easily slept 4 more hours today "
"Sun Jun 07 13:07:14 PDT 2009","cmarieogg","Well, Andy's still not home and I'm getting anxios and worried "
"Wed Jun 03 05:30:16 PDT 2009","PaperCakes","@gjbpartners I like that idea better than the real truth "
"Tue Jun 02 09:17:05 PDT 2009","KirsMoore","taking pictures with tat  imma miss her "
"Mon Jun 01 15:49:17 PDT 2009","LittleLiverbird","@scooby867 Good thanks! Got to enjoy the sunshine! How about you? "
"Sun Apr 19 06:43:11 PDT 2009","jenns1125","Another day of studying. I want to go outside and play.  It will be worth it in the end."
"Mon Jun 01 16:05:30 PDT 2009","tommyvanity","i watched the new moon trailer again. i cant wait to see it  i'm so embarassing."
"Sat Jun 06 10:46:38 PDT 2009","heyyomariah","Max is whimpering in his sleep. "
"Tue Jun 02 01:30:57 PDT 2009","Hossguy","Stayed up late because it's summer. Been trying to finish Terninator Salvation for the 360. "
"Mon Jun 15 22:59:42 PDT 2009","LolliLicker","@KelliKanyon Sometimes I like to have a nice hot chat, it always gets me wet  I usually us a dildo or 2 when i do "
"Wed Jun 03 00:09:53 PDT 2009","ravengrape","*sigh* everybody sleepin, cadena lonley  ...well @BoriMischief is awake but he is not tweetin so yeah, lonely lil latin girl :p"
"Sun Jun 21 09:04:25 PDT 2009","sonnygauran","@allenskd For me, i don't feel much any difference from 6.5/6.7 on php. though i'm hoping about better svn support. it stinks at 6.5. "
"Sat May 30 17:04:26 PDT 2009","AspenSierra","&quot;No! That's beer money!&quot; haha. "
"Fri Jun 05 11:25:56 PDT 2009","Cladia","Going for a walk. It's so nice out "
"Wed Jun 03 06:56:54 PDT 2009","gvee","@MladenPrajdic a geekier phrase has never been exlaimed so proudly - well done! "
"Fri May 22 08:33:21 PDT 2009","KrisKaos","Back working at the porn shop   THIS PLACE SMELLS!"
"Mon May 18 01:15:27 PDT 2009","maynaseric","who's who theme at  http://bit.ly/p8aX7 looks great  most likely using this #wordpress theme for one of the News sites"
"Sat May 16 23:45:06 PDT 2009","AClockworkToad","@kluless65 And I say you e-mail Libby saying you want to cancel..take the fall.  "
