"rm";"id_projeto";"projeto";"tipo_rm";"titulo";"criacao_rm";"termino_rm";"data_corte";"is_backlog"
11647;17;GSAN;Evolutiva;Acrescentar informação no relatório R1310 - Relatorio Resumo Atualizacao Cadastral;"07/05/2015";;"01/03/2017";1
11690;17;GSAN;Corretiva;Erro consulta do  UC0906;"20/05/2015";"31/05/2017";"01/03/2017";1
11709;17;GSAN;Corretiva;Quantidade de cortes executados;"26/05/2015";"02/09/2015";"01/03/2017";1
11711;17;GSAN;Atendimento;Baixa da negativação;"26/05/2015";;"01/03/2017";1
11719;17;GSAN;Evolutiva;Alteração na sala virtual - imóveis com a mesma inscrição;"27/05/2015";"24/08/2017";"01/03/2017";1
11728;17;GSAN;Corretiva;Ajustes Motivo de não geração Comando Ação Cobrança;"29/05/2015";"07/07/2017";"01/03/2017";1
11750;17;GSAN;Evolutiva;Criar funcionalidade para gerenciar as Lojas de Atendimento;"09/06/2015";;"01/03/2017";1
11759;17;GSAN;Atendimento;A solicitação da certidão negativa do Cliente está saindo em branco;"11/06/2015";;"01/03/2017";1
11767;17;GSAN;Atendimento;Padronizar exibição de campos na tela MANTER IMÓVEL -> CARACTERÍSTICAS;"12/06/2015";;"01/03/2017";1
11772;17;GSAN;Atendimento;FACTÍVEL FATURAVEL PARA SUSPENSÃO DE EMISSÃO DE CONTA E RETIFICAÇÃO;"15/06/2015";"14/06/2017";"01/03/2017";1
11777;17;GSAN;Atendimento;Solução definitiva da RM 11773 - Processo 2 - FATURAR GRUPO FATURAMENTO;"16/06/2015";;"01/03/2017";1
11784;38;BI Desenvolvimento;Corretiva;Erro BI Comercial - Inconsistência relatório de incremento de novas ligações;"17/06/2015";"19/06/2017";"01/03/2017";1
11785;38;BI Desenvolvimento;Corretiva;Inconsistência BI - OLAP;"17/06/2015";"19/06/2017";"01/03/2017";1
11837;17;GSAN;Corretiva;Medição individualizada;"01/07/2015";"11/05/2017";"01/03/2017";1
11867;17;GSAN;Atendimento;MODERNIZAÇÃO DO GERENCIADOR DE INFORMAÇÕES DO ATENDIMENTO;"07/07/2015";;"01/03/2017";1
11878;3;Alpha;Atendimento;Ajuste de Etiqueta de Admissão - ALPHA Folha (Humanus);"08/07/2015";"01/12/2017";"01/03/2017";1
11886;38;BI Desenvolvimento;Atendimento;Ajuste BI Despesas Apresentação;"08/07/2015";"19/06/2017";"01/03/2017";1
11917;3;Alpha;Evoluções e Novos Projetos;NETBASE - Sistema da Informação de Gestão Operacional dos Sistema de Abastecimento de água;"09/07/2015";"22/02/2019";"01/03/2017";1
11923;3;Alpha;Evoluções e Novos Projetos;Relatório Orçamento;"09/07/2015";"25/05/2018";"01/03/2017";1
11939;17;GSAN;Corretiva;Verificar código para obrigatoriedade de foto na impressão de cartas obrig. de conx. esgoto;"13/07/2015";"29/06/2017";"01/03/2017";1
11984;17;GSAN;Evolutiva;Projeto Especial - Realização de Leitura de Hidrômetro para Faturamento pelo Próprio Cliente;"20/07/2015";;"01/03/2017";1
11996;17;GSAN;Atendimento;Odebrecht :: Gerar TXT Parcelamentos Negociados Empresa Cobranca com Novos Campos;"22/07/2015";"23/02/2018";"01/03/2017";1
12014;38;BI Desenvolvimento;Atendimento;[SUPRIMENTOS] Painel digital de indicadores de Suprimentos;"22/07/2015";"28/08/2017";"01/03/2017";1
12067;3;Alpha;Atendimento;Elaboração de 3 relatórios para estimativa de custo;"03/08/2015";"23/11/2017";"01/03/2017";1
12092;3;Alpha;Atendimento;ERRO - Erro ao Cancelar Guias de Trânsito de Imobilizado;"04/08/2015";"11/05/2017";"01/03/2017";1
12093;3;Alpha;Atendimento;ERRO - Arquivos enviados para o TCE;"04/08/2015";"11/05/2017";"01/03/2017";1
12095;3;Alpha;Atendimento;EERO = Erro intregração Distribution x Pure;"04/08/2015";"11/05/2017";"01/03/2017";1
12096;3;Alpha;Atendimento;CUSTOMIZAÇÃO - Histórico de Medições Válidas;"04/08/2015";"11/05/2017";"01/03/2017";1
12128;17;GSAN;Atendimento;situação especial de faturamento;"06/08/2015";"18/04/2017";"01/03/2017";1
12143;38;BI Desenvolvimento;Atendimento;[Comercial] (Micromedição) Consistência de Dados;"10/08/2015";"16/08/2017";"01/03/2017";1
12162;17;GSAN;Evolutiva;INCLUIR NO ARQUIVO DIÁRIO DA OA VALOR DO DESCONTO;"12/08/2015";"18/08/2017";"01/03/2017";1
12217;17;GSAN;Evolutiva;Evolução do Processo de Acompanhamento de Demandas pela Ouvidoria COMPESA;"19/08/2015";;"01/03/2017";1
12285;3;Alpha;Atendimento;Auditoria - Levantamento de perfis/telas;"31/08/2015";"01/12/2017";"01/03/2017";1
12305;3;Alpha;Atendimento;Relatório contábil da Travel;"31/08/2015";"01/12/2017";"01/03/2017";1
12348;17;GSAN;Corretiva;Ausência de indicador em tela de manutenção de anormalidade de consumo;"04/09/2015";;"01/03/2017";1
12356;17;GSAN;Evolutiva;RD de Tarifa Social (impactos no GSAN) – Perfil de ligação;"04/09/2015";"09/01/2018";"01/03/2017";1
12358;17;GSAN;Evolutiva;RD de Tarifa Social (impactos no GSAN) – Trava no sistema;"04/09/2015";"09/01/2018";"01/03/2017";1
12359;17;GSAN;Evolutiva;RD de Tarifa Social (impactos no GSAN) – Tela para exclusão da TS;"04/09/2015";"09/01/2018";"01/03/2017";1
12360;17;GSAN;Evolutiva;RD de Tarifa Social (impactos no GSAN) – Inserir Registro de Atendimento (especificação);"04/09/2015";"17/07/2018";"01/03/2017";1
12361;17;GSAN;Evolutiva;RD de Tarifa Social (impactos no GSAN) – Alteração na tela “Inserir Dados da Tarifa Social”;"04/09/2015";"17/07/2018";"01/03/2017";1
12383;38;BI Desenvolvimento;Atendimento;Inconsistência Kit CAS;"09/09/2015";"19/06/2017";"01/03/2017";1
12447;17;GSAN;Evolutiva;Plano de Ação :: Auditoria Interna :: Subprocesso de Faturamento;"21/09/2015";;"01/03/2017";1
12450;17;GSAN;Corretiva;Contas retificadas e campanha Conta Premiada II;"21/09/2015";;"01/03/2017";1
12458;38;BI Desenvolvimento;Atendimento;[Grandes Consumidores] Criar BI para Grandes Consumidores;"22/09/2015";"28/08/2017";"01/03/2017";1
12487;17;GSAN;Evolutiva;Plano de Ação :: Auditoria Interna :: Rec04;"25/09/2015";"27/02/2019";"01/03/2017";1
12537;17;GSAN;Evolutiva;Plano de Ação :: Auditoria Interna :: Rec08;"01/10/2015";"10/05/2017";"01/03/2017";1
12540;17;GSAN;Atendimento;Plano de Ação :: Auditoria Interna :: Rec12;"01/10/2015";"27/02/2019";"01/03/2017";1
12579;17;GSAN;Corretiva;"Ajuste nas funcionalidades ""Inserir Registro de Atendimento"" e ""Consultar Dados do Registro de Atendimento""";"02/10/2015";"27/02/2019";"01/03/2017";1
12580;17;GSAN;Corretiva;Ajuste no GSANAS para impedir a geração de NOVA ETAPA em duplicidade de tipo de serviço. (Impacto na PPP, TERCEIRIZADAS e CONVÊNIO PREFEITURAS);"02/10/2015";"09/11/2016";"01/03/2017";1
12619;17;GSAN;Corretiva;Corrigir a implantação da duplicidade de parcerlamento;"08/10/2015";"18/08/2017";"01/03/2017";1
12745;38;BI Desenvolvimento;Atendimento;Otimizar views da Procenge (Qlikview);"30/10/2015";"19/06/2017";"01/03/2017";1
12759;17;GSAN;Corretiva;Erro no relatório de resumo de ligações e economias;"03/11/2015";"27/02/2019";"01/03/2017";1
12802;3;Alpha;Atendimento;Criação relatório para GCP- Kalline;"04/11/2015";"01/12/2017";"01/03/2017";1
12809;3;Alpha;Atendimento;Criação de eventos de disparo e-mail na RC site 600;"04/11/2015";"01/12/2017";"01/03/2017";1
12872;17;GSAN;Corretiva;Contrato Demanda para imóveis com mais de uma economia;"16/11/2015";;"01/03/2017";1
12873;17;GSAN;Evolutiva;Ajustes na Funcionalidade Contrato de Demanda - Cobrança de Esgoto;"16/11/2015";"26/09/2017";"01/03/2017";1
12898;28;SIC;Corretiva;Erro ao efetuar um filtro por valor liberado na aba controle de empenhos;"20/11/2015";;"01/03/2017";1
12916;38;BI Desenvolvimento;Evoluções e Novos Projetos;[COMERCIAL] Criar área para dicas úteis;"24/11/2015";"06/08/2018";"01/03/2017";1
12938;17;GSAN;Corretiva;Erro Mensagens do GSAN;"27/11/2015";"12/12/2017";"01/03/2017";1
12950;28;SIC;Evoluções e Novos Projetos;Módulo de Licenciamento Ambiental;"01/12/2015";"14/06/2017";"01/03/2017";1
12952;17;GSAN;Atendimento;Medição individualizada - Gravatá Country;"01/12/2015";"18/04/2017";"01/03/2017";1
12964;61;SIG - Sistema Informações Gerenciais;Evolutiva;SISTEMATIZAÇÃO, AUTOMATIZAÇÃO DOS PROCESSOS DE COBRANÇA DE ORGÃOS PÚBLICOS;"03/12/2015";"29/09/2017";"01/03/2017";1
12971;17;GSAN;Corretiva;Medição individualizada Mobile;"04/12/2015";"11/05/2017";"01/03/2017";1
13000;28;SIC;Atendimento;Criação do Modulo de Acompanhamento de Frota;"14/12/2015";"21/07/2017";"01/03/2017";1
13002;17;GSAN;Corretiva;ROTA DE LEITURA - Erros no retorno do processo de atualização cadastral;"14/12/2015";"25/09/2017";"01/03/2017";1
13023;28;SIC;Evolutiva;Gravar histórico funcional na mudança de organograma;"18/12/2015";;"01/03/2017";1
13048;17;GSAN;Evolutiva;REDUÇAO DE FATURAMENTO DE ÁGUA EM 20% - INTIMAÇÃO MINISTÉRIO PÚBLICO PARA BEZERROS;"24/12/2015";"31/10/2016";"01/03/2017";1
13130;3;Alpha;Evoluções e Novos Projetos;Relatorio de Historico Exames Medicos;"12/01/2016";"02/01/2018";"01/03/2017";1
13184;17;GSAN;Evolutiva;Permitir mais de uma situação de suspensão de faturamento;"26/01/2016";"08/08/2017";"01/03/2017";1
13188;20;SIM;Evolutiva;Acompanhamento de projetos estratégicos;"27/01/2016";;"01/03/2017";1
13285;17;GSAN;Corretiva;Buscar Coordenadas dos Imóveis do GIS;"22/02/2016";"28/09/2017";"01/03/2017";1
13300;17;GSAN;Atendimento;Elaborar Querys para Utilização no BI de Cobrança;"23/02/2016";;"01/03/2017";1
13372;17;GSAN;Evolutiva;Estratégico GCM :: Construção do Portal Imobiliário;"10/03/2016";"29/12/2017";"01/03/2017";1
13385;17;GSAN;Evolutiva;Incluir o serviço de viabilidade técnica.;"14/03/2016";"21/03/2017";"01/03/2017";1
13421;41;Departamentais;Evolutiva;Projeto SIG :: Inclusão de Queries no SIG;"21/03/2016";;"01/03/2017";1
13451;17;GSAN;Corretiva;Atualizar Dados cadastrais para o imovel: Voltando para tela de pesquisa;"29/03/2016";"11/05/2018";"01/03/2017";1
13465;17;GSAN;Desenvolvimento;Motivo não entrega de contas - Retorno ISC;"30/03/2016";"27/02/2019";"01/03/2017";1
13479;17;GSAN;Evolutiva;Estratégico DMA :: PILOTO NACIONAL - Arrecadação WebService BB;"31/03/2016";"22/12/2016";"01/03/2017";1
13488;17;GSAN;Evolutiva;CANCELAMENTO DA FATURA ANTECIPADA PARA OS ÓRGÃO PÚBLICOS;"01/04/2016";"16/11/2017";"01/03/2017";1
13491;17;GSAN;Desenvolvimento;Definir Hierarquia de Situações Especiais Faturamento;"04/04/2016";"08/08/2017";"01/03/2017";1
13505;17;GSAN;Evolutiva;os imóveis cortados permaneçam na rota de leitura todos os meses e que o consumo apurado seja registrado, mesmo que se trate de uma EC/AC, e neste caso que seja aplicado a regra,;"06/04/2016";"18/04/2017";"01/03/2017";1
13506;17;GSAN;Evolutiva;Ajustes funcionalidades Android RM12873;"06/04/2016";"28/06/2018";"01/03/2017";1
13509;17;GSAN;Desenvolvimento;Ajustar GSAN à hierarquia de situações de faturamento;"06/04/2016";"08/08/2017";"01/03/2017";1
13510;38;BI Desenvolvimento;Atendimento;[FLUXO DE CAIXA] BI Fluxo de Caixa;"06/04/2016";"30/04/2019";"01/03/2017";1
13545;28;SIC;Evoluções e Novos Projetos;Alterações para integrar ao Humanus, comportar terceirizados e descentralizar gestão;"15/04/2016";"02/05/2017";"01/03/2017";1
13566;17;GSAN;Corretiva;"Erro - Trata com ""ERRO SISTEMA""  a concorrência (data da ultima atualização) da O.S programação acompanhamento serviço X O.S programação";"20/04/2016";"31/10/2017";"01/03/2017";1
13593;17;GSAN;Evolutiva;regra de medição individualizada;"27/04/2016";"19/04/2018";"01/03/2017";1
13629;20;SIM;Evolutiva;Evolução do SIM;"05/05/2016";;"01/03/2017";1
13650;28;SIC;Evoluções e Novos Projetos;Criar banco de permuta;"10/05/2016";"04/09/2017";"01/03/2017";1
13652;28;SIC;Evoluções e Novos Projetos;Aperfeiçoar controle do Terceirizado;"10/05/2016";"02/05/2017";"01/03/2017";1
13713;17;GSAN;Evolutiva;NÃO PERMITIR ALTERAÇÃO CADASTRAL DE % DE ESGOTO PARA IMÓVEIS COM DÉBITO > 3 CONTAS;"24/05/2016";"18/04/2017";"01/03/2017";1
13820;17;GSAN;Evolutiva;Norma de REVISÃO POR INICIATIVA DO CLIENTE;"15/06/2016";"08/03/2018";"01/03/2017";1
13833;28;SIC;Evolutiva;Publicação da tabela de custos de serviços de engenharia da Compesa;"20/06/2016";"08/03/2017";"01/03/2017";1
13880;17;GSAN;Corretiva;Alteração de Vencimento das Faturas;"05/07/2016";"11/09/2018";"01/03/2017";1
13885;17;GSAN;Evolutiva;CRIAR NOVA FUNCIONALIDADE PARA OS CONTRATOS DE CONTA FIXA;"06/07/2016";"22/06/2017";"01/03/2017";1
13887;17;GSAN;Evolutiva;exclusão de clientes do código 20;"06/07/2016";"31/05/2017";"01/03/2017";1
13893;17;GSAN;Corretiva;ATUALIZAÇÃO DO CPF/CNPJ NA FATURA QUANDO O CADASTRO É ATUALIZADO;"07/07/2016";"19/04/2017";"01/03/2017";1
13896;17;GSAN;Evolutiva;Cobrança - Teimosinha;"12/07/2016";"18/04/2017";"01/03/2017";1
13897;17;GSAN;Evolutiva;CARTA PARA INFORMAR AO CLIENTE ALTERAÇÃO CADASTRAL;"12/07/2016";"10/07/2017";"01/03/2017";1
13907;17;GSAN;Corretiva;Cancelamento de Debitos Prescritos de Imoveis Publicos;"13/07/2016";"09/08/2017";"01/03/2017";1
13928;17;GSAN;Evolutiva;Devolução de Duplicidade;"19/07/2016";"08/05/2017";"01/03/2017";1
13981;17;GSAN;Evolutiva;Indicativo de recebimento de fatura por email;"01/08/2016";"26/09/2017";"01/03/2017";1
13983;41;Departamentais;Evolutiva;Faturamento e arrecadação sobre análise de projetos;"02/08/2016";;"01/03/2017";1
14000;17;GSAN;Evolutiva;Controle da interrupção para supressão (inadimplência);"03/08/2016";"15/12/2017";"01/03/2017";1
14006;17;GSAN;Corretiva;Aumentar limite de Caracteres Campo Email;"04/08/2016";"17/03/2017";"01/03/2017";1
14015;17;GSAN;Atendimento;comando odebrecht - matrículas;"08/08/2016";"31/07/2017";"01/03/2017";1
14017;17;GSAN;Atendimento;Imoveis com debitos prescritos;"08/08/2016";"18/07/2017";"01/03/2017";1
14041;17;GSAN;Corretiva;GERAR REL. ACOMPANHAMENTO LEITURISTA;"15/08/2016";"06/03/2017";"01/03/2017";1
14045;17;GSAN;Evolutiva;Estratégico DMA :: Nova RD Política de Desconto  - Parte 1;"16/08/2016";"04/04/2017";"01/03/2017";1
14046;17;GSAN;Evolutiva;Estratégico DMA :: Novo Modelo de Contrato de Cadastro;"16/08/2016";"07/02/2019";"01/03/2017";1
14048;17;GSAN;Evolutiva;Estratégico DMA :: Demandas Evolutivas Prioritárias;"16/08/2016";"18/06/2018";"01/03/2017";1
14053;17;GSAN;Corretiva;Problemas APP GSANEOS LIMPEZA DE DADOS;"17/08/2016";"14/12/2017";"01/03/2017";1
14058;17;GSAN;Atendimento;não geração corte físico - sul;"17/08/2016";"06/03/2017";"01/03/2017";1
14064;17;GSAN;Evolutiva;Gerar rotina para alteração de cliente cortado;"19/08/2016";"07/07/2017";"01/03/2017";1
14078;17;GSAN;Corretiva;Verificar como o GSAN associou/permitiu inserir vários códigos de cliente para o mesmo CPF 127.916.088-85;"23/08/2016";;"01/03/2017";1
14099;17;GSAN;Evolutiva;CANCELAMENTO AUTOMÁTICO DE GUIAS NÃO PAGAS;"25/08/2016";"16/05/2017";"01/03/2017";1
14107;20;SIM;Evolutiva;Criação de módulo de Empreendimentos no SIM;"26/08/2016";"05/07/2018";"01/03/2017";1
14122;17;GSAN;Evolutiva;EMISSÃO DE EXTRATO DE DÉBITO PARA CLIENTES COM FATURAMENTO SUSPENSO;"29/08/2016";"21/08/2017";"01/03/2017";1
14137;17;GSAN;Evolutiva;Migração para WildFly;"30/08/2016";"06/03/2017";"01/03/2017";1
14157;41;Departamentais;Atendimento;Alteração no relatório de acompanhamento da atualização cadastral;"02/09/2016";"22/02/2019";"01/03/2017";1
14177;28;SIC;Atendimento;Melhoria no Sistema - SIC;"09/09/2016";"21/08/2017";"01/03/2017";1
14188;17;GSAN;Evolutiva;Problema no Cancelamento do Contrato de Parcelamento;"12/09/2016";"24/01/2019";"01/03/2017";1
14199;38;BI Desenvolvimento;Atendimento;Marcar no GSAN as ações de cobrança SMS 1 e 2 e Tele Cobrança;"14/09/2016";"11/01/2019";"01/03/2017";1
14200;17;GSAN;Atendimento;Erro na rotina batch de religação;"14/09/2016";"31/07/2017";"01/03/2017";1
14205;17;GSAN;Evolutiva;Devolução de Pagamento em Duplicidade;"15/09/2016";;"01/03/2017";1
14213;28;SIC;Evoluções e Novos Projetos;Módulo de Acompanhamento de obras do escritório do PAC;"16/09/2016";"19/05/2017";"01/03/2017";1
14220;17;GSAN;Corretiva;GSANEOS | Problema Encerramento de Rotas;"20/09/2016";"27/07/2017";"01/03/2017";1
14223;17;GSAN;Corretiva;GSANEOS | Encerramento inexperado do Aplicativo quando tentado carregar as rotas;"20/09/2016";"07/07/2017";"01/03/2017";1
14264;17;GSAN;Atendimento;exclusão da negativação - arquivo enviado para BV.;"03/10/2016";"27/07/2017";"01/03/2017";1
14265;17;GSAN;Evolutiva;TRAVA NO GSAN PARA IMPEDIR A CRIAÇÃO DE SETORES COMERCIAIS EM LOCALIDADES SEM CENTROS DE CUSTO;"03/10/2016";"02/06/2017";"01/03/2017";1
14275;17;GSAN;Atendimento;BAIXA DE CONTA POR PAGAMENTO A MENOR AUTOMATICAMENTE COM DIFERENÇA PARA O MES SEGUINTE;"06/10/2016";"18/04/2017";"01/03/2017";1
14277;17;GSAN;Evolutiva;Estratégico DMA :: Nova RD Política de Desconto - Parte 2 (Permissão Especial);"06/10/2016";"26/06/2017";"01/03/2017";1
14304;17;GSAN;Atendimento;Matrícula do pagamento diferente do valor da conta;"13/10/2016";"06/03/2017";"01/03/2017";1
